ngpus,numa_nodes,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
1,"0",1024,0.0049744,0.212183,0.00440928,0.235315
1,"0",2048,0.00578176,0.36253,0.0051616,0.401129
1,"0",4096,0.00506272,0.83514,0.004368,0.94754
1,"0",8192,0.00569728,1.47973,0.00500704,1.6594
1,"0",16384,0.00623424,2.69667,0.0049984,3.32048
1,"0",32768,0.00670176,5.02909,0.00494336,6.73505
1,"0",65536,0.00806944,8.25288,0.0053456,12.406
1,"0",131072,0.0107261,12.3935,0.00684672,19.2999
1,"0",262144,0.015849,16.6816,0.00904608,29.2225
1,"0",524288,0.0255824,20.672,0.0140675,37.5444
1,"0",1048576,0.0414515,25.3899,0.0235683,44.7015
1,"0",2097152,0.0623139,34.135,0.0424336,49.5806
1,"0",4194304,0.0980886,43.0707,0.0802717,52.3045
1,"0",8388608,0.160564,52.3683,0.155835,53.8485
1,"0",16777216,0.313406,53.7806,0.308186,54.4824
1,"0",33554432,0.614307,54.6922,0.615625,54.6703
1,"0",67108864,1.21337,55.317,1.21704,55.1773
1,"0",134217728,2.41991,55.4654,2.42854,55.2929
1,"0",268435456,4.83499,55.5202,4.84343,55.4242
1,"0",536870912,9.66149,55.5683,9.68213,55.4519
1,"0",1073741824,19.3208,55.5746,19.3503,55.4896
1,"0",2147483648,38.6386,55.5787,38.6946,55.4983
1,"0,1",1024,0.010793,0.0971652,0.0108838,0.0961601
1,"0,1",2048,0.00520704,0.403977,0.00466784,0.442587
1,"0,1",4096,0.00532032,0.79169,0.00466272,0.888327
1,"0,1",8192,0.00557632,1.49417,0.0044784,1.86291
1,"0,1",16384,0.0062384,2.69572,0.0045632,3.62841
1,"0,1",32768,0.0085984,3.89147,0.00620608,5.41325
1,"0,1",65536,0.0127494,5.21512,0.007296,9.10739
1,"0,1",131072,0.0104694,12.6662,0.00648352,20.3578
1,"0,1",262144,0.0150538,17.5756,0.00879488,30.0071
1,"0,1",524288,0.0243091,22.3309,0.013544,38.9468
1,"0,1",1048576,0.041809,25.1808,0.0237005,44.5658
1,"0,1",2097152,0.0585536,36.4484,0.0423168,49.7066
1,"0,1",4194304,0.0969827,43.5694,0.0802489,52.3197
1,"0,1",8388608,0.221209,38.112,0.157286,53.4516
1,"0,1",16777216,0.313486,53.7013,0.308301,54.4641
1,"0,1",33554432,0.609914,55.0402,0.610272,55.0119
1,"0,1",67108864,1.21329,55.3202,1.21917,55.1249
1,"0,1",134217728,2.42028,55.4582,2.42764,55.3093
1,"0,1",268435456,4.83694,55.5004,4.84234,55.4356
1,"0,1",536870912,9.66271,55.5615,9.67841,55.4714
1,"0,1",1073741824,19.3211,55.5736,19.3547,55.4775
1,"0,1",2147483648,38.6377,55.5801,38.6925,55.5013
1,"3",1024,0.00526016,0.203418,0.00469696,0.22486
1,"3",2048,0.00935808,0.225384,0.00841088,0.24653
1,"3",4096,0.0055216,0.764581,0.00490752,0.851556
1,"3",8192,0.0125779,0.658665,0.0105235,0.799043
1,"3",16384,0.00609696,2.73903,0.0048496,3.41755
1,"3",32768,0.00661632,5.03965,0.0048832,6.86063
1,"3",65536,0.00852288,7.77645,0.00520512,12.6952
1,"3",131072,0.00966464,13.7781,0.00655008,20.2223
1,"3",262144,0.0169709,15.51,0.00945728,27.9808
1,"3",524288,0.024865,21.2116,0.0137658,38.3992
1,"3",1048576,0.0360464,29.8361,0.0237728,44.312
1,"3",2097152,0.0650323,32.5846,0.042456,49.5391
1,"3",4194304,0.0987536,42.8722,0.0803101,52.2912
1,"3",8388608,0.169642,49.612,0.155953,53.8204
1,"3",16777216,0.312589,53.6749,0.307486,54.5927
1,"3",33554432,0.610063,55.0026,0.613842,54.8604
1,"3",67108864,1.21961,55.0251,1.21378,55.2895
1,"3",134217728,2.45415,54.6914,2.55119,52.614
1,"3",268435456,4.95811,54.1429,6.10993,43.9345
1,"3",536870912,9.97839,53.8046,13.4216,40.0008
1,"3",1073741824,19.9634,53.7856,28.2367,38.0264
1,"3",2147483648,40.1427,53.4963,57.6478,37.2518
1,"0,3",1024,0.005248,0.200202,0.00418752,0.24731
1,"0,3",2048,0.00480192,0.433712,0.0045104,0.469134
1,"0,3",4096,0.00514912,0.810009,0.00439392,0.94251
1,"0,3",8192,0.0058576,1.42589,0.00463104,1.79176
1,"0,3",16384,0.0101008,1.69051,0.00792256,2.09591
1,"0,3",32768,0.006816,4.88312,0.00442912,7.47713
1,"0,3",65536,0.00801984,8.33009,0.00530624,12.5131
1,"0,3",131072,0.0103341,12.7259,0.0064288,20.5293
1,"0,3",262144,0.0220922,11.9097,0.010193,26.1342
1,"0,3",524288,0.021392,24.8059,0.0135824,38.8069
1,"0,3",1048576,0.0378816,28.0535,0.023912,44.0367
1,"0,3",2097152,0.0602269,35.6512,0.0432349,48.6383
1,"0,3",4194304,0.109212,38.4504,0.0806105,52.1287
1,"0,3",8388608,0.168178,50.0146,0.15596,53.8163
1,"0,3",16777216,0.314336,53.6006,0.307466,54.6012
1,"0,3",33554432,0.612274,54.9197,0.609863,55.0381
1,"0,3",67108864,1.21554,55.2494,1.21839,55.1398
1,"0,3",134217728,2.42096,55.445,2.42857,55.2933
1,"0,3",268435456,4.83465,55.524,4.84549,55.402
1,"0,3",536870912,9.66174,55.5668,9.73065,55.1741
1,"0,3",1073741824,19.3211,55.5735,19.7696,54.3128
1,"0,3",2147483648,38.6353,55.5835,40.0547,53.6139
2,"0",1024,0.00538592,0.193942,0.00509984,0.203287
2,"0",2048,0.0056528,0.370103,0.00532848,0.3882
2,"0",4096,0.00533984,0.782982,0.00475072,0.87356
2,"0",8192,0.00569312,1.46448,0.00514928,1.61461
2,"0",16384,0.00573776,2.91413,0.00475392,3.49898
2,"0",32768,0.00710688,4.62511,0.00475632,7.01913
2,"0",65536,0.00783184,8.48127,0.00540016,12.2768
2,"0",131072,0.0109821,12.2149,0.00677616,19.593
2,"0",262144,0.0182096,14.4783,0.00884016,29.8474
2,"0",524288,0.0290267,18.3685,0.0136398,38.7037
2,"0",1048576,0.0530558,20.0484,0.0247779,42.7007
2,"0",2097152,0.0668081,31.8787,0.0426803,49.2849
2,"0",4194304,0.0924349,45.9556,0.0805069,52.144
2,"0",8388608,0.161672,52.1001,0.156481,53.6493
2,"0",16777216,0.308558,54.4645,0.312977,54.1248
2,"0",33554432,0.609809,55.0527,0.614654,54.835
2,"0",67108864,1.21391,55.3034,1.21836,55.1146
2,"0",134217728,2.41931,55.4784,2.42832,55.2859
2,"0",268435456,4.83673,55.5013,4.8791,55.022
2,"0",536870912,9.66049,55.574,9.72783,55.1915
2,"0",1073741824,19.3192,55.5793,19.4854,55.1051
2,"0",2147483648,38.6288,55.5928,38.9781,55.0946
2,"0,1",1024,0.0051152,0.205351,0.0044848,0.230885
2,"0,1",2048,0.00527536,0.395269,0.0044664,0.463822
2,"0,1",4096,0.00519296,0.805018,0.00438688,0.94129
2,"0,1",8192,0.00542656,1.53546,0.00451024,1.83959
2,"0,1",16384,0.00583536,2.85605,0.004884,3.38588
2,"0,1",32768,0.00709072,4.68211,0.00468704,7.06696
2,"0,1",65536,0.00835568,7.91795,0.0055784,11.8174
2,"0,1",131072,0.01102,12.1761,0.0067144,19.6731
2,"0,1",262144,0.0207066,12.7286,0.00940912,28.0669
2,"0,1",524288,0.0626666,8.39367,0.0159246,33.8183
2,"0,1",1048576,0.0470858,22.5474,0.0238307,44.2746
2,"0,1",2097152,0.0678562,31.1586,0.0427166,49.3207
2,"0,1",4194304,0.0922556,45.9198,0.0809261,51.875
2,"0,1",8388608,0.162492,52.0205,0.157647,53.3492
2,"0,1",16777216,0.308756,54.4697,0.308853,54.4993
2,"0,1",33554432,0.61109,54.9843,0.61148,54.9283
2,"0,1",67108864,1.21378,55.3077,1.21604,55.2045
2,"0,1",134217728,2.42159,55.4333,2.4246,55.3591
2,"0,1",268435456,4.8354,55.5169,4.8444,55.4129
2,"0,1",536870912,9.66023,55.5754,9.68404,55.4395
2,"0,1",1073741824,19.3208,55.5748,19.3938,55.3653
2,"0,1",2147483648,38.6274,55.5949,38.841,55.2892
2,"3",1024,0.00650624,0.159549,0.006728,0.154186
2,"3",2048,0.0119352,0.185542,0.00988752,0.210773
2,"3",4096,0.00551312,0.75778,0.00458624,0.904463
2,"3",8192,0.00556112,1.49625,0.0049584,1.66509
2,"3",16384,0.0063816,2.62288,0.0051424,3.21358
2,"3",32768,0.00628144,5.30248,0.00452816,7.32615
2,"3",65536,0.00775184,8.59706,0.00527952,12.5059
2,"3",131072,0.0116718,11.3342,0.0070592,18.6974
2,"3",262144,0.0180538,14.6177,0.0089592,29.488
2,"3",524288,0.0275161,19.2936,0.0135651,38.9479
2,"3",1048576,0.0496952,21.3012,0.0241211,43.9264
2,"3",2097152,0.0650309,32.7448,0.0428051,49.2407
2,"3",4194304,0.141703,29.9729,0.0815939,51.4957
2,"3",8388608,0.269975,31.0786,0.156534,53.6568
2,"3",16777216,0.581492,28.8525,0.309692,54.3908
2,"3",33554432,1.20785,27.7967,0.615351,54.5295
2,"3",67108864,2.43768,27.531,1.99678,33.6151
2,"3",134217728,4.94514,27.1416,5.4244,24.7659
2,"3",268435456,9.91843,27.0645,12.6381,21.2668
2,"3",536870912,19.8051,27.1077,27.3157,19.6637
2,"3",1073741824,40.0005,26.8435,56.6247,18.9692
2,"3",2147483648,80.4306,26.7001,113.764,18.8823
2,"0,3",1024,0.00503408,0.207235,0.00442688,0.234008
2,"0,3",2048,0.00529616,0.395563,0.00450752,0.460321
2,"0,3",4096,0.005288,0.786909,0.00493536,0.837534
