ngpus,numa_nodes,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
1,"0",4096,0.0116531,0.338428,0.010616,0.362973
1,"0",8192,0.00563872,1.38872,0.00458592,1.70162
1,"0",16384,0.00738368,2.11542,0.00633024,2.44949
1,"0",32768,0.00648832,4.78476,0.00460768,6.78433
1,"0",65536,0.00838816,7.37777,0.00544,11.4557
1,"0",131072,0.0108704,11.3493,0.00699616,17.5986
1,"0",262144,0.0147005,16.9125,0.00892096,27.5432
1,"0",524288,0.0241728,20.3219,0.0138086,35.6148
1,"0",1048576,0.0387891,25.2833,0.0239139,41.0726
1,"0",2097152,0.0576858,34.3826,0.0426125,45.9367
1,"0",4194304,0.0906515,43.1884,0.0805001,48.5791
1,"0",8388608,0.167281,46.9113,0.156672,49.8812
1,"0",16777216,0.324046,48.4238,0.309273,50.6247
1,"0",33554432,0.609906,51.2684,0.61045,51.209
1,"0",67108864,1.21316,51.523,1.21586,51.4188
1,"0",134217728,2.42078,51.6429,2.424,51.5695
1,"0",268435456,4.83443,51.7131,4.84374,51.6147
1,"0",536870912,9.66112,51.7539,9.67931,51.657
1,"0",1073741824,19.3182,51.7649,19.3493,51.6814
1,"0",2147483648,38.6314,51.7714,38.6934,51.6884
1,"0,1",4096,0.0054832,0.713395,0.00499904,0.773121
1,"0,1",8192,0.00682752,1.14539,0.00635808,1.23217
1,"0,1",16384,0.00549216,2.85497,0.00444576,3.48153
1,"0,1",32768,0.0066896,4.65608,0.0048544,6.35685
1,"0,1",65536,0.0075808,8.20282,0.00531616,11.5918
1,"0,1",131072,0.0109718,11.2744,0.00698464,17.6611
1,"0,1",262144,0.0143114,17.3874,0.00881792,27.9026
1,"0,1",524288,0.0214989,22.8946,0.0137795,35.745
1,"0,1",1048576,0.0421642,23.3325,0.0241165,40.674
1,"0,1",2097152,0.0611079,32.9467,0.0429843,45.5523
1,"0,1",4194304,0.0992214,39.6841,0.0813194,48.1075
1,"0,1",8388608,0.168234,46.6074,0.156309,50.0028
1,"0,1",16777216,0.313069,50.0819,0.30822,50.7286
1,"0,1",33554432,0.612048,51.1676,0.612321,51.115
1,"0,1",67108864,1.21448,51.4904,1.21997,51.316
1,"0,1",134217728,2.42043,51.6496,2.42745,51.5135
1,"0,1",268435456,4.83472,51.7104,4.84372,51.6155
1,"0,1",536870912,9.66117,51.7537,9.6804,51.6515
1,"0,1",1073741824,19.3161,51.7703,19.3497,51.6804
1,"0,1",2147483648,38.6224,51.7835,38.6958,51.6852
1,"3",4096,0.00525536,0.744728,0.00490368,0.786282
1,"3",8192,0.005816,1.33579,0.00518752,1.48438
1,"3",16384,0.00628672,2.47567,0.00550016,2.81933
1,"3",32768,0.00829728,3.7368,0.00641344,4.79821
1,"3",65536,0.00812416,7.63267,0.00556,11.0603
1,"3",131072,0.00989728,12.5238,0.00693472,17.7716
1,"3",262144,0.0271254,9.03174,0.0115562,21.535
1,"3",524288,0.0251056,19.5599,0.0140362,35.0412
1,"3",1048576,0.0367923,26.9189,0.0243206,40.3409
1,"3",2097152,0.0635136,31.0013,0.0428109,45.7371
1,"3",4194304,0.0987178,39.7896,0.0811117,48.2117
1,"3",8388608,0.16593,47.0911,0.1559,50.1241
1,"3",16777216,0.311892,50.0993,0.307646,50.791
1,"3",33554432,0.609543,51.2688,0.609725,51.2529
1,"3",67108864,1.21737,51.3405,1.21426,51.4718
1,"3",134217728,2.45648,50.8859,2.58275,48.3996
1,"3",268435456,4.95443,50.4629,6.14526,40.6818
1,"3",536870912,9.97096,50.1457,13.4816,37.0876
1,"3",1073741824,19.9704,50.0743,27.9887,35.7288
1,"3",2147483648,40.1498,49.8135,57.708,34.6572
1,"0,3",4096,0.00507168,0.769887,0.0045792,0.84772
1,"0,3",8192,0.00566592,1.37513,0.00520352,1.4839
1,"0,3",16384,0.00619232,2.52335,0.00512832,3.04352
1,"0,3",32768,0.00709184,4.40413,0.00497504,6.20448
1,"0,3",65536,0.00791936,7.84099,0.00545952,11.296
1,"0,3",131072,0.010761,11.4752,0.00709952,17.3733
1,"0,3",262144,0.0156419,15.7198,0.0091872,26.7832
1,"0,3",524288,0.0241968,20.2418,0.0138973,35.3979
1,"0,3",1048576,0.0432925,23.1447,0.0241389,40.7606
1,"0,3",2097152,0.0623002,32.3612,0.0430345,45.5083
1,"0,3",4194304,0.0981344,40.1271,0.0814717,48.0003
1,"0,3",8388608,0.169441,46.2253,0.156567,49.9191
1,"0,3",16777216,0.310756,50.3981,0.30988,50.4904
1,"0,3",33554432,0.611714,51.1646,0.612481,51.1061
1,"0,3",67108864,1.21609,51.4451,1.21758,51.3682
1,"0,3",134217728,2.41978,51.6604,2.42732,51.5138
1,"0,3",268435456,4.83663,51.6921,4.863,51.409
1,"0,3",536870912,9.66326,51.7431,9.72471,51.4166
1,"0,3",1073741824,19.3159,51.7708,19.8944,50.2655
1,"0,3",2147483648,38.6194,51.7874,39.8432,50.1968
2,"0",4096,0.0053912,0.720881,0.00500512,0.770803
2,"0",8192,0.00535312,1.45966,0.0047984,1.60863
2,"0",16384,0.00608496,2.55508,0.00508208,3.04613
2,"0",32768,0.00757008,4.0814,0.00532528,5.81112
2,"0",65536,0.00846928,7.28869,0.00569088,10.839
2,"0",131072,0.0098584,12.5841,0.00647488,18.991
2,"0",262144,0.0396965,6.1926,0.011688,21.2477
2,"0",524288,0.0328339,14.9921,0.0136738,35.9494
2,"0",1048576,0.0503087,19.7164,0.0235592,41.7032
2,"0",2097152,0.0706765,28.0648,0.043049,45.572
2,"0",4194304,0.0906156,43.336,0.0810216,48.2683
2,"0",8388608,0.163908,48.0478,0.156452,49.9929
2,"0",16777216,0.30852,50.6971,0.313047,50.3815
2,"0",33554432,0.611773,51.1926,0.613617,51.0626
2,"0",67108864,1.21221,51.5622,1.22045,51.3079
