ngpus,numa_nodes,numa_weight,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
1,"0,3","1,1",4096,0.00564288,0.696108,0.005288,0.729781
1,"0,3","1,1",8192,0.00582848,1.33537,0.00530144,1.4564
1,"0,3","1,1",16384,0.00570784,2.71799,0.00482656,3.19868
1,"0,3","1,1",32768,0.00652576,4.75629,0.00466048,6.62726
1,"0,3","1,1",65536,0.0082256,7.58131,0.00557504,11.1586
1,"0,3","1,1",131072,0.010624,11.6096,0.00703552,17.4989
1,"0,3","1,1",262144,0.0156454,15.7349,0.00904256,27.2095
1,"0,3","1,1",524288,0.0250307,19.5837,0.0139514,35.2771
1,"0,3","1,1",1048576,0.0357741,27.5764,0.023784,41.2366
1,"0,3","1,1",2097152,0.0637606,31.2031,0.0427971,45.7363
1,"0,3","1,1",4194304,0.0971831,40.4205,0.0804105,48.6341
1,"0,3","1,1",8388608,0.168944,46.3104,0.157075,49.7583
1,"0,3","1,1",16777216,0.312569,50.1088,0.309707,50.5149
1,"0,3","1,1",33554432,0.610438,51.222,0.611817,51.1291
1,"0,3","1,1",67108864,1.21483,51.4684,1.21921,51.3269
1,"0,3","1,1",134217728,2.4194,51.6679,2.4271,51.5177
1,"0,3","1,1",268435456,4.83528,51.7046,4.84519,51.5996
1,"0,3","1,1",536870912,9.66369,51.7409,9.69304,51.5836
1,"0,3","1,1",1073741824,19.3157,51.7714,19.6872,50.7946
1,"0,3","1,1",2147483648,38.6266,51.7778,40.0606,49.9245
1,"0,3","1,2",4096,0.00674304,0.677429,0.00532672,0.738912
1,"0,3","1,2",8192,0.00583424,1.34008,0.00528384,1.46192
1,"0,3","1,2",16384,0.00620032,2.51897,0.0052496,2.9668
1,"0,3","1,2",32768,0.00729824,4.26898,0.00508576,6.07192
1,"0,3","1,2",65536,0.00867104,7.1499,0.00569056,10.9676
1,"0,3","1,2",131072,0.0180502,6.86268,0.00902752,13.7355
1,"0,3","1,2",262144,0.0149872,16.4271,0.00939456,26.2009
1,"0,3","1,2",524288,0.0240003,20.4101,0.0141405,34.7724
1,"0,3","1,2",1048576,0.0511437,19.1356,0.0247859,39.8394
1,"0,3","1,2",2097152,0.0577565,34.2183,0.0435562,44.9634
1,"0,3","1,2",4194304,0.121649,32.2327,0.0821027,47.7303
1,"0,3","1,2",8388608,0.169272,46.2316,0.156482,49.9461
1,"0,3","1,2",16777216,0.313857,49.9138,0.308237,50.7259
1,"0,3","1,2",33554432,0.611576,51.175,0.614122,51.056
1,"0,3","1,2",67108864,1.21384,51.4993,1.2192,51.3303
1,"0,3","1,2",134217728,2.42317,51.5975,2.427,51.5176
1,"0,3","1,2",268435456,4.83574,51.7002,4.895,51.0736
1,"0,3","1,2",536870912,9.66222,51.7482,10.0996,49.5077
1,"0,3","1,2",1073741824,19.3162,51.7702,20.7701,48.1462
1,"0,3","1,2",2147483648,38.6212,51.7851,43.5853,45.887
1,"0,3","1,3",4096,0.00559584,0.699343,0.0052448,0.742046
1,"0,3","1,3",8192,0.00640896,1.21395,0.00599456,1.29049
1,"0,3","1,3",16384,0.00600608,2.59624,0.00508928,3.0721
1,"0,3","1,3",32768,0.0065184,4.76575,0.00474752,6.50775
1,"0,3","1,3",65536,0.00845952,7.31434,0.00585536,10.6115
1,"0,3","1,3",131072,0.0113043,10.9076,0.00706752,17.4478
1,"0,3","1,3",262144,0.0157939,15.5795,0.00946816,26.0715
1,"0,3","1,3",524288,0.022704,21.716,0.0139658,35.1911
1,"0,3","1,3",1048576,0.041081,23.815,0.0245072,40.0055
1,"0,3","1,3",2097152,0.0602403,32.8483,0.0434112,45.0928
1,"0,3","1,3",4194304,0.211573,18.7343,0.0841594,46.9685
1,"0,3","1,3",8388608,0.171814,45.5355,0.156343,49.999
1,"0,3","1,3",16777216,0.314203,49.8622,0.308746,50.6387
1,"0,3","1,3",33554432,0.608816,51.3304,0.615174,51.0315
1,"0,3","1,3",67108864,1.21223,51.5581,1.2194,51.3244
1,"0,3","1,3",134217728,2.4185,51.6852,2.42821,51.4888
1,"0,3","1,3",268435456,4.83325,51.7258,5.15755,48.4786
1,"0,3","1,3",536870912,9.66109,51.7541,10.8456,46.1029
1,"0,3","1,3",1073741824,19.3195,51.7614,22.621,44.2069
1,"0,3","1,3",2147483648,38.6253,51.7795,46.3201,43.1778
1,"0,3","1,4",4096,0.007928,0.499983,0.00766048,0.501921
1,"0,3","1,4",8192,0.00563104,1.38031,0.00521696,1.48817
1,"0,3","1,4",16384,0.0062896,2.47941,0.00519904,2.96795
1,"0,3","1,4",32768,0.00729504,4.2696,0.00473088,6.54567
1,"0,3","1,4",65536,0.008384,7.38349,0.005536,11.135
1,"0,3","1,4",131072,0.0140902,8.73409,0.00808736,15.2259
1,"0,3","1,4",262144,0.0142144,17.364,0.009248,26.5584
1,"0,3","1,4",524288,0.0216714,22.742,0.0140038,35.089
1,"0,3","1,4",1048576,0.0559158,17.5143,0.0255386,38.7028
1,"0,3","1,4",2097152,0.0644029,30.7228,0.0427062,45.8344
1,"0,3","1,4",4194304,0.100097,39.2763,0.0806352,48.4941
1,"0,3","1,4",8388608,0.322687,24.3347,0.163562,48.4186
1,"0,3","1,4",16777216,0.375364,41.8617,0.314876,50.1191
1,"0,3","1,4",33554432,0.608871,51.3251,0.612466,51.1097
1,"0,3","1,4",67108864,1.21199,51.5684,1.21539,51.4305
1,"0,3","1,4",134217728,2.41947,51.6644,2.43071,51.4297
1,"0,3","1,4",268435456,4.834,51.7183,5.28455,47.3135
1,"0,3","1,4",536870912,9.66382,51.7403,11.1153,44.9836
1,"0,3","1,4",1073741824,19.3188,51.7634,22.8463,43.771
1,"0,3","1,4",2147483648,38.6294,51.774,47.5593,42.0528
2,"0,3","1,1",4096,0.00566448,0.678566,0.00492448,0.788204
2,"0,3","1,1",8192,0.00580768,1.33963,0.0052696,1.46834
2,"0,3","1,1",16384,0.00619616,2.5027,0.00519584,2.9768
2,"0,3","1,1",32768,0.0140963,2.25738,0.0108432,2.84796
2,"0,3","1,1",65536,0.0110693,5.58725,0.0068776,8.95147
2,"0,3","1,1",131072,0.0106181,11.8696,0.0066936,18.3596
2,"0,3","1,1",262144,0.0168896,14.8631,0.0090768,27.044
2,"0,3","1,1",524288,0.028147,17.5296,0.0138778,35.3744
2,"0,3","1,1",1048576,0.0471808,21.2712,0.0239816,40.9681
2,"0,3","1,1",2097152,0.069257,28.4031,0.0434872,45.1371
2,"0,3","1,1",4194304,0.0930706,42.4186,0.0807822,48.4155
2,"0,3","1,1",8388608,0.164752,47.8575,0.157833,49.6254
2,"0,3","1,1",16777216,0.31255,50.2155,0.309386,50.6554
2,"0,3","1,1",33554432,0.614221,51.1017,0.610845,51.1765
2,"0,3","1,1",67108864,1.22289,51.1364,1.22617,51.0515
2,"0,3","1,1",134217728,2.46113,50.8151,2.80972,44.5006
2,"0,3","1,1",268435456,4.95768,50.428,6.55544,38.138
2,"0,3","1,1",536870912,9.99178,50.0418,14.1761,35.2718
2,"0,3","1,1",1073741824,20.0973,49.7585,29.0617,34.4114
2,"0,3","1,1",2147483648,40.363,49.5506,58.071,34.4437
2,"0,3","1,2",4096,0.005352,0.727971,0.00481168,0.806371
2,"0,3","1,2",8192,0.00579568,1.34248,0.00553552,1.40501
2,"0,3","1,2",16384,0.00648752,2.3961,0.00532576,2.92979
2,"0,3","1,2",32768,0.00673184,4.59743,0.004804,6.43586
2,"0,3","1,2",65536,0.00861216,7.17147,0.00583392,10.5618
2,"0,3","1,2",131072,0.0203115,6.05769,0.00939856,13.1593
2,"0,3","1,2",262144,0.0187219,13.2864,0.00935568,26.2767
2,"0,3","1,2",524288,0.0912131,5.37976,0.0172875,29.0798
2,"0,3","1,2",1048576,0.097017,10.1572,0.0263118,37.9983
2,"0,3","1,2",2097152,0.0677797,29.2074,0.0431758,45.2969
2,"0,3","1,2",4194304,0.101201,39.1749,0.0810656,48.2294
2,"0,3","1,2",8388608,0.179018,43.822,0.156682,49.8945
2,"0,3","1,2",16777216,0.394576,39.7688,0.308562,50.7123
2,"0,3","1,2",33554432,0.804992,38.9272,0.612046,51.1289
2,"0,3","1,2",67108864,1.62639,38.4341,1.32078,47.3495
2,"0,3","1,2",134217728,3.27876,38.1285,3.67195,34.0516
2,"0,3","1,2",268435456,6.59775,37.8941,8.63093,28.9663
2,"0,3","1,2",536870912,13.2806,37.6497,18.4429,27.1138
2,"0,3","1,2",1073741824,26.7335,37.4068,37.6961,26.5343
2,"0,3","1,2",2147483648,53.7266,37.2256,75.213,26.6041
2,"0,3","1,3",4096,0.00569296,0.684733,0.00525216,0.737064
